Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Thursday Mar 28,boxscore,MIN,,CLE,W,2,0,,1-0,1,Tied,Berrios,Kluber,Rogers,2:18,D,39519,+,
2,Saturday Mar 30,boxscore,MIN,,CLE,L,1,2,,1-1,2,1.0,Edwards,Parker,Hand,3:00,D,15271,-,
3,Sunday Mar 31,boxscore,MIN,,CLE,W,9,3,,2-1,1,Tied,Perez,Carrasco,,2:39,D,15613,+,
4,Tuesday Apr 2,boxscore,MIN,@,KCR,W,5,4,10,3-1,1,up 1.0,Hildenberger,Boxberger,Parker,3:30,N,10024,++,
5,Wednesday Apr 3,boxscore,MIN,@,KCR,W,7,6,,4-1,1,up 1.0,May,Peralta,Parker,3:32,D,10575,+++,
6,Friday Apr 5,boxscore,MIN,@,PHI,L,4,10,,4-2,1,Tied,Pivetta,Odorizzi,,3:31,N,28021,-,
7,Saturday Apr 6,boxscore,MIN,@,PHI,W,6,2,,5-2,1,Tied,Pineda,Arrieta,,2:50,D,44693,+,
8,Sunday Apr 7,boxscore,MIN,@,PHI,L,1,2,,5-3,3,1.0,Eflin,Berrios,Neris,2:47,D,39735,-,
9,Tuesday Apr 9,boxscore,MIN,@,NYM,W,14,8,,6-3,2,0.5,Hildenberger,deGrom,,4:08,N,22126,+,
10,Wednesday Apr 10,boxscore,MIN,@,NYM,L,6,9,,6-4,3,1.0,Syndergaard,Odorizzi,,3:15,N,20946,-,
11,Saturday Apr 13,boxscore,MIN,,DET,W,4,3,,7-4,1,up 0.5,Pineda,Ross,Parker,3:07,D,16484,+,
12,Sunday Apr 14,boxscore,MIN,,DET,W,6,4,,8-4,1,up 1.5,Berrios,Zimmermann,Hildenberger,3:19,D,14774,++,
13,Monday Apr 15,boxscore,MIN,,TOR,L,3,5,,8-5,1,up 0.5,Gaviglio,Mejia,Biagini,3:00,N,11727,-,
14,Tuesday Apr 16,boxscore,MIN,,TOR,L,5,6,,8-6,2,0.5,Sanchez,May,Giles,3:06,N,13365,--,
15,Wednesday Apr 17,boxscore,MIN,,TOR,W,4,1,,9-6,2,0.5,Odorizzi,Thornton,Parker,2:57,N,11465,+,
16,Thursday Apr 18,boxscore,MIN,,TOR,L,4,7,,9-7,2,1.0,Biagini,Pineda,Giles,3:00,D,12523,-,
17,Saturday Apr 20 (1),boxscore,MIN,@,BAL,W,6,5,,10-7,1,Tied,Berrios,Yacabonis,Rogers,3:16,D,,+,2019-04-19 (Rain)
